File Path,sequence,steps,time_spent,Extra_Steps,num_R,num_T,new_sequence,Clusters
Puzzles/SelectionS16/puzzle_1/student_88,VVOOIOiOfPRRPEPRRPRRRTTSTISTFS,27,953,11,7,4,VVOOIOOPRRPEPRRPRRRTIF,2
Puzzles/SelectionS16/puzzle_1/student_158,VVOIOIFOEOPPPPTTSTSTSTSTS,20,144,4,0,6,VVOIOIFOEOPPPPTTT,3
Puzzles/SelectionS16/puzzle_1/student_81,IRERIRRRVVFPOPRTPOPTOOS,22,325,6,6,2,IRERIRRRVVFPOPRPOPOO,4
Puzzles/SelectionS16/puzzle_1/student_75,VRVORIIFOOEPRPRoORTPRRRPSTSRSRSRRSSSSSSSSSSSSSRS,30,220,14,13,2,VRVORIIFOOEPRPRORPRRRPRRR,2
Puzzles/SelectionS16/puzzle_1/student_72,TVTVIIOOFPOPEPOPSRSRS,18,84,2,2,2,VVIIOOFPOPEPOPRR,3
Puzzles/SelectionS16/puzzle_1/student_86,VRTTTVIOOIFPORRRPPEOPS,21,142,5,4,3,VRTVIOOIFPORRRPPEOP,2
Puzzles/SelectionS16/puzzle_1/student_156,VVOIOIFPOPEOPTTTSPS,17,314,1,0,3,VVOIOIFPOPEOPTP,1
Puzzles/SelectionS16/puzzle_1/student_169,VRRVIIFPOOvRRTORPREPOPTS,23,223,7,6,2,VRRVIIFPOORRORPREPOP,2
Puzzles/SelectionS16/puzzle_1/student_4,VVTIOOIRFRPOPEPTOPSRS,19,109,3,3,2,VVIOOIRFRPOPEPOPR,3
Puzzles/SelectionS16/puzzle_1/student_203,VVIIFOEOOOPPPPTTS,16,184,0,0,2,VVIIFOEOOOPPPP,2
Puzzles/SelectionS16/puzzle_1/student_3,VIVTIFPOPEPOPTOOS,16,161,0,0,2,VIVIFPOPEPOPOO,2
Puzzles/SelectionS16/puzzle_1/student_2,VVOOIITFPPOEOPRTPSRS,18,142,2,2,2,VVOOIIFPPOEOPRPR,3
Puzzles/SelectionS16/puzzle_1/student_5,VVOIROIFPOPEPOPTTS,17,159,1,1,2,VVOIROIFPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_205,VTVIOOIFPOPEPOPTS,16,126,0,0,2,VVIOOIFPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_180,VVIIRFOEPROROPRRRRTORRRRRRTPRRRPSRRS,34,636,18,18,2,VVIIRFOEPROROPRRRRORRRRPRRP,4
Puzzles/SelectionS16/puzzle_1/student_50,VVIIfPOPERPOPOROTTSTFS,20,298,4,2,3,VVIIPOPERPOPOROTF,2
Puzzles/SelectionS16/puzzle_1/student_174,VVTIOTOIFPOPPEOPS,16,85,0,0,2,VVIOOIFPOPPEOP,1
Puzzles/SelectionS16/puzzle_1/student_68,VVOIOIFPRRRROPRPERRRROPRTTS,26,271,10,10,2,VVOIOIFPRRRROPRPERRRROPR,2
Puzzles/SelectionS16/puzzle_1/student_173,PTVVFPROPIIOOTOEPSRRRRRRS,23,115,7,7,2,PVVFPROPIIOOOEPRRRRRR,4
Puzzles/SelectionS16/puzzle_1/student_57,VVOIOIFPOPEOPPTTS,16,114,0,0,2,VVOIOIFPOPEOPP,1
Puzzles/SelectionS16/puzzle_1/student_187,VVOTOITIFPOPEPOPSRSTiSRSTSRSRSRRSRRS,27,378,11,8,4,VVOOIIFPOPEPOPRTRRRRRRR,2
Puzzles/SelectionS16/puzzle_1/student_95,VVOIOIFPOPEPOPTTS,16,148,0,0,2,VVOIOIFPOPEPOP,1
